date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:36	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2018%20Feb%202019%2015:10:35%20GMT	http://yikik-site.glitch.me/robots.txt		(from )
18:10:37	5596/5596	---M--	200	added ('OK')	text/html	etag:W/%2215dc-168fc36cb60%22	http://yikik-site.glitch.me/	C:/Users/TheNovm/Desktop/aoe/yeni%20site/yikik-site.glitch.me/index.html	(from )
18:10:38	8995/8995	---M--	200	added ('OK')	image/png	etag:%229997df836bf8408525ea9c0a2a270921%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2F879894_1f1fe_512x512.png?1549801832894	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/879894_1f1fe_512x5124935.png	(from http://yikik-site.glitch.me/)
18:10:38	3082/3082	---M--	200	added ('OK')	text/css	etag:W/%22c0a-168d6f326f0%22	http://yikik-site.glitch.me/src/style.css	C:/Users/TheNovm/Desktop/aoe/yeni%20site/yikik-site.glitch.me/src/style.css	(from http://yikik-site.glitch.me/)
18:10:38	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%221545419987%22	https://stackpath.bootstrapcdn.com/bootstrap/4.2.1/css/bootstrap.min.css	C:/Users/TheNovm/Desktop/aoe/yeni%20site/stackpath.bootstrapcdn.com/bootstrap/4.2.1/css/bootstrap.min.css	(from http://yikik-site.glitch.me/)
18:10:39	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/Users/TheNovm/Desktop/aoe/yeni%20site/code.jquery.com/jquery-3.3.1.slim.min.js	(from http://yikik-site.glitch.me/)
18:10:40	55775/55775	---M-Z	200	added ('OK')	text/javascript	etag:%221545419986%22	https://stackpath.bootstrapcdn.com/bootstrap/4.2.1/js/bootstrap.min.js	C:/Users/TheNovm/Desktop/aoe/yeni%20site/stackpath.bootstrapcdn.com/bootstrap/4.2.1/js/bootstrap.min.js	(from http://yikik-site.glitch.me/)
18:10:40	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/TheNovm/Desktop/aoe/yeni%20site/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://yikik-site.glitch.me/)
18:10:40	12544/12544	---M--	200	added ('OK')	image/png	etag:%224075369014329cb8de5be3ba1ae45d41%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2Fplus.png?1549793432537	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/plus0636.png	(from http://yikik-site.glitch.me/)
18:10:40	6907/6907	---M--	200	added ('OK')	image/png	etag:%2288e25f1a9f1e46dda7071077a851cbd6%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2Fwave1.png?1549793432488	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/wave13da8.png	(from http://yikik-site.glitch.me/)
18:10:41	128670/128670	---M--	200	added ('OK')	image/png	etag:%225ae92671fcea88d068eb912f6eb71a70%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2Fnetwork.png?1549793433241	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/network4def.png	(from http://yikik-site.glitch.me/)
18:10:41	87103/87103	---M--	200	added ('OK')	image/png	etag:%22afb32590c20761ee2b02122d74fef2b0%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2Fdeveloper1.png?1549793435438	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/developer1917a.png	(from http://yikik-site.glitch.me/)
18:10:42	129726/129726	---M--	200	added ('OK')	image/png	etag:%2264012972a648731314d87086c9753d24%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2Fdeveloper2.png?1549793435548	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/developer2f886.png	(from http://yikik-site.glitch.me/)
18:10:42	176827/176827	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Feb%202019%2015:10:41%20GMT	https://discordbots.org/api/widget/540467172405673994.svg	C:/Users/TheNovm/Desktop/aoe/yeni%20site/discordbots.org/api/widget/540467172405673994.svg	(from http://yikik-site.glitch.me/)
18:10:42	8423/8423	---M--	200	added ('OK')	image/png	etag:%22833564c1262d3d255a16215c80413c25%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2Fpeople_icon_maintenance.png?1549902724640	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/people_icon_maintenance2508.png	(from http://yikik-site.glitch.me/)
18:10:42	4555/4555	---M--	200	added ('OK')	image/png	etag:%22df618e1887b6a460998db96f75636b8e%22	https://cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249%2Fwave2.png?1549793433149	C:/Users/TheNovm/Desktop/aoe/yeni%20site/cdn.glitch.com/e1eb225a-8f2a-4cff-8e87-b9830a359249/wave272dc.png	(from http://yikik-site.glitch.me/)
18:10:43	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:%221544639734%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/TheNovm/Desktop/aoe/yeni%20site/stackpath.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
